Title,Address,Building Info,Transport 1,Transport 2,Transport 3,Floor,Rent,Administration Fee,Deposit,Gratuity,Layout,Size,Detail URL
東京メトロ半蔵門線 半蔵門駅 14階建 築2年,東京都千代田区麹町２,"築2年
14階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩3分,ＪＲ総武線/四ツ谷駅 歩13分,5階,30.5万円,16000円,-,30.5万円,1LDK,65.34m2,/chintai/jnc_000086270944/?bc=100352382123
ミレニアムガーデンコート,東京都千代田区二番町,"築24年
17階建",東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/四ツ谷駅 歩6分,東京メトロ半蔵門線/半蔵門駅 歩9分,6階,42万円,-,42万円,42万円,1LDK,73.76m2,/chintai/jnc_000085696820/?bc=100348264851
東京メトロ有楽町線 市ケ谷駅 15階建 築12年,東京都千代田区九段南３,"築12年
15階建",東京メトロ有楽町線/市ケ谷駅 歩12分,東京メトロ東西線/九段下駅 歩11分,東京メトロ半蔵門線/半蔵門駅 歩11分,4階,15.6万円,8000円,15.6万円,31.2万円,1LDK,40.38m2,/chintai/jnc_000086820343/?bc=100270547623
東京メトロ有楽町線 市ケ谷駅 15階建 築12年,東京都千代田区九段南３,"築12年
15階建",東京メトロ有楽町線/市ケ谷駅 歩12分,東京メトロ東西線/九段下駅 歩11分,東京メトロ半蔵門線/半蔵門駅 歩11分,4階,15.6万円,15000円,15.6万円,31.2万円,1LDK,40.38m2,/chintai/jnc_000086820343/?bc=100270547623
FREESIA TERRACE（フリージアテラス）,東京都千代田区九段南３,"築12年
15階建",ＪＲ中央線/市ケ谷駅 歩10分,東京メトロ半蔵門線/半蔵門駅 歩12分,東京メトロ東西線/九段下駅 歩13分,4階,15.6万円,15000円,15.6万円,31.2万円,1LDK,40.38m2,/chintai/jnc_000086820342/?bc=100356224096
FREESIA TERRACE（フリージアテラス）,東京都千代田区九段南３,"築12年
15階建",ＪＲ中央線/市ケ谷駅 歩10分,東京メトロ半蔵門線/半蔵門駅 歩12分,東京メトロ東西線/九段下駅 歩13分,13階,16.7万円,15000円,16.7万円,33.4万円,1LDK,40.38m2,/chintai/jnc_000086820342/?bc=100356224096
ＪＲ中央線 市ケ谷駅 地下1地上18階建 築7年,東京都千代田区三番町,"築7年
地下1地上18階建",ＪＲ中央線/市ケ谷駅 歩5分,東京メトロ半蔵門線/半蔵門駅 歩8分,東京メトロ有楽町線/麹町駅 歩10分,8階,29.8万円,20000円,29.8万円,59.6万円,1LDK,57.32m2,/chintai/jnc_000086610478/?bc=100355112229
東京メトロ半蔵門線 半蔵門駅 7階建 築47年,東京都千代田区一番町,"築47年
7階建",東京メトロ半蔵門線/半蔵門駅 歩2分,東京メトロ有楽町線/麹町駅 歩5分,都営新宿線/市ケ谷駅 歩7分,6階,16.5万円,10000円,16.5万円,16.5万円,1LDK,41.1m2,/chintai/jnc_000040845650/?bc=100353598160
グランリビオ千代田平河町,東京都千代田区平河町１,"築4年
14階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩5分,東京メトロ南北線/永田町駅 歩7分,9階,18万円,10000円,18万円,18万円,1LDK,32.6m2,/chintai/jnc_000085896130/?bc=100349709987
リバーレ九段南,東京都千代田区九段南３,"築25年
地下1地上8階建",ＪＲ中央線/市ケ谷駅 歩9分,東京メトロ半蔵門線/半蔵門駅 歩9分,東京メトロ半蔵門線/九段下駅 歩11分,3階,12.2万円,5000円,12.2万円,-,1DK,29.05m2,/chintai/jnc_000085779005/?bc=100345496153
リバーレ九段南,東京都千代田区九段南３,"築25年
地下1地上8階建",ＪＲ中央線/市ケ谷駅 歩9分,東京メトロ半蔵門線/半蔵門駅 歩9分,東京メトロ半蔵門線/九段下駅 歩11分,4階,14.8万円,5000円,14.8万円,14.8万円,1LDK,35.01m2,/chintai/jnc_000085779005/?bc=100345496153
コンフォリア九段,東京都千代田区九段南２,"築17年
13階建",東京メトロ東西線/九段下駅 歩8分,東京メトロ南北線/市ケ谷駅 歩9分,東京メトロ半蔵門線/半蔵門駅 歩10分,13階,22.7万円,10000円,22.7万円,22.7万円,1LDK,45.16m2,/chintai/jnc_000083979355/?bc=100353353237
東京メトロ半蔵門線 半蔵門駅 地下1地上12階建 築19年,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩10分,2階,28.2万円,15000円,-,-,1LDK,59.39m2,/chintai/jnc_000085708266/?bc=100352178256
